,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,184,184,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301191,2024-04-14T00:00:00,MIL @ ORL,L,31.583333333333332,6,15,0.4,0,4,0.0,5,6,0.833,1,2,3,5,4,1,0,2,3,3,17,-25,27.1,0,0,27.0,1,13252,13252,13252,6629,5451,3661,15260,14651,7844,14651,1879,1912,7318,6495,13100,12548,3413,804,4430,8529,23757,18879,4295,5445,25921,8662,2248,138,7909,1,31:35,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,31.000000:35,91.9,90.3,119.6,128.6,-27.7,-38.2,0.417,1.25,19.2,0.034,0.065,0.05,15.4,0.4,0.482,0.313,0.319,97.75,94.99,79.16,62,0.071,0.0
1,377,377,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301179,2024-04-12T00:00:00,MIL @ OKC,L,22.966666666666665,7,10,0.7,2,2,1.0,2,2,1.0,0,7,7,6,2,1,0,1,1,1,18,-11,36.4,0,0,35.0,1,13252,13252,13252,13602,3981,8327,3257,4439,13570,1,6103,7481,1,13449,1913,3886,2326,4132,4430,8529,17336,6163,11166,4872,21910,4559,2248,138,4374,1,22:58,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,22.000000:58,117.6,117.0,136.0,137.5,-18.4,-20.5,0.4,3.0,31.6,0.0,0.318,0.159,10.5,0.8,0.827,0.241,0.246,99.57,99.27,82.73,47,0.19,0.0
2,966,966,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301148,2024-04-09T00:00:00,MIL vs. BOS,W,33.24,5,8,0.625,2,4,0.5,0,0,0.0,0,6,6,9,7,1,0,0,2,1,12,12,28.7,0,0,31.0,1,1,1,1,5231,7292,11049,5137,4439,7844,4049,13417,14233,13417,13449,2880,5291,667,33,4430,8529,1,13042,11166,9297,3565,7835,2248,138,5923,1,33:14,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,33.000000:14,107.8,107.8,86.4,90.5,21.4,17.3,0.391,1.29,37.5,0.0,0.14,0.086,29.2,0.75,0.75,0.214,0.217,93.86,91.7,76.41,64,0.121,12.0
3,1272,1272,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301139,2024-04-07T00:00:00,MIL vs. NYK,L,13.016666666666667,2,4,0.5,1,1,1.0,0,0,0.0,2,2,4,2,2,0,0,1,0,0,5,4,10.8,0,0,12.0,1,13252,13252,13252,20543,15517,17737,8954,8460,16961,1,13417,14233,13417,3105,13100,9569,9909,4132,12108,8529,17336,1,17532,17241,8492,18944,2248,138,17454,1,13:01,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,13.000000:01,137.8,145.8,116.4,134.8,21.4,11.1,0.222,1.0,25.0,0.2,0.105,0.138,25.0,0.625,0.625,0.222,0.211,95.95,86.66,72.22,24,0.114,15.0
4,1865,1865,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301122,2024-04-05T00:00:00,MIL vs. TOR,L,33.71666666666667,9,16,0.563,2,6,0.333,1,2,0.5,1,4,5,6,2,3,0,0,5,3,21,-11,43.0,0,0,40.0,1,13252,13252,13252,4841,1924,3032,7486,4439,3921,9124,10099,7481,10591,6495,6490,7149,2326,4132,384,8529,1,25189,4295,3398,21910,2539,2248,138,2810,1,33:43,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,33.000000:43,96.7,94.6,114.6,112.5,-17.9,-17.9,0.3,3.0,24.0,0.027,0.129,0.074,8.0,0.625,0.622,0.229,0.239,101.85,103.92,86.6,74,0.144,12.0
5,2311,2311,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301095,2024-04-02T00:00:00,MIL @ WAS,L,30.865,9,19,0.474,3,8,0.375,3,4,0.75,3,6,9,6,4,2,0,1,3,3,24,-14,45.8,0,0,46.0,1,13252,13252,13252,7231,1924,1555,12502,2226,1806,8784,4235,3806,8216,1506,2880,2119,2326,804,1349,8529,17336,18879,4295,2264,23404,1932,2248,138,1548,1,30:52,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,30.000000:52,93.6,95.5,114.8,116.4,-21.2,-20.9,0.333,1.5,20.0,0.07,0.207,0.125,13.3,0.553,0.578,0.3,0.299,106.03,104.2,86.83,67,0.149,0.0
6,2704,2704,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301076,2024-03-30T00:00:00,MIL @ ATL,W,35.8,9,10,0.9,3,3,1.0,0,0,0.0,0,6,6,6,1,1,0,0,3,1,21,0,39.2,0,0,38.0,1,1,1,1,3117,1924,8327,1417,2226,10539,1,13417,14233,13417,13449,2880,5291,2326,8468,4430,8529,1,18879,11166,3398,12394,3599,2248,138,3395,1,35:48,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,35.000000:48,128.6,124.0,121.0,125.7,7.6,-1.7,0.261,6.0,35.3,0.0,0.167,0.097,5.9,1.05,1.05,0.139,0.144,100.0,99.89,83.24,75,0.167,0.0
7,3043,3043,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301061,2024-03-28T00:00:00,MIL @ NOP,L,32.77,3,12,0.25,1,7,0.143,0,0,0.0,0,8,8,6,4,1,0,0,3,2,7,0,24.6,0,0,24.0,1,13252,13252,13252,5634,12407,6130,20383,8460,2715,14340,13417,14233,13417,13449,1265,2854,2326,804,4430,8529,1,18879,6969,14704,12394,10026,2248,138,9599,1,32:46,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,32.000000:46,110.4,113.2,109.1,110.0,1.3,3.2,0.222,1.5,27.3,0.0,0.2,0.116,18.2,0.292,0.292,0.216,0.217,102.74,101.07,84.22,68,0.045,0.0
8,3320,3320,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301045,2024-03-26T00:00:00,MIL vs. LAL,L,38.58,4,15,0.267,2,7,0.286,2,2,1.0,2,4,6,7,1,1,0,1,5,1,12,-2,31.7,0,0,29.0,1,13252,13252,13252,1265,9679,3661,20314,4439,2715,11375,6103,7481,1,3105,6490,5291,1520,8468,4430,8529,17336,25189,11166,9297,14544,6406,2248,138,6880,1,38:35,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,38.000000:35,102.3,103.6,113.1,109.9,-10.8,-6.3,0.241,7.0,29.2,0.037,0.091,0.061,4.2,0.333,0.378,0.168,0.172,101.85,102.64,85.54,84,0.048,12.0
9,3690,3690,2023-24,203114,Khris Middleton,Khris,1610612749,MIL,Milwaukee Bucks,22301030,2024-03-24T00:00:00,MIL vs. OKC,W,27.3,5,11,0.455,1,5,0.2,0,0,0.0,2,8,10,10,5,0,1,1,3,0,11,10,36.0,1,1,34.0,1,1,1,1,10200,7292,7189,13083,8460,5663,13222,13417,14233,13417,3105,1265,1501,425,304,12108,2720,17336,18879,17532,10286,4460,4702,1,1,4739,1,27:18,,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,F,,27.000000:18,113.4,117.5,99.1,98.3,14.3,19.3,0.435,2.0,38.5,0.069,0.229,0.156,19.2,0.5,0.5,0.235,0.232,102.51,101.1,84.25,57,0.143,15.0
