,Unnamed: 0.1,Unnamed: 0_left,SEASON_YEAR,PLAYER_ID_left,PLAYER_NAME_left,NICKNAME_left,TEAM_ID_left,TEAM_ABBREVIATION_left,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN_left,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Unnamed: 0
0,280,280,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,33.74666666666667,9,19,0.474,4,9,0.444,3,4,0.75,2,2,4,7,3,0,0,2,3,3,25,-11,37.3,0,0,40.0,1,13252,13252,13252,4823,1924,1555,12502,1043,1137,7253,4235,3806,8216,3105,13100,9569,1520,1850,12108,8529,23757,18879,4295,1973,21910,4232,2248,138,2810,1,33:45,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,33.000000:45,116.0,115.7,127.3,127.8,-11.3,-12.1,0.333,2.33,22.6,0.059,0.087,0.07,9.7,0.579,0.602,0.3,0.304,101.07,100.99,84.16,70,0.103,19.0
1,507,507,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,37.843333333333334,10,21,0.476,8,13,0.615,0,0,0.0,0,5,5,5,3,0,2,0,3,0,28,-5,44.5,0,0,50.0,1,1,1,1,1687,1283,930,12454,29,135,3184,13417,14233,13417,13449,4442,7149,3413,1850,12108,879,1,18879,17532,1259,17506,2204,2248,138,998,1,37:51,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,37.000000:51,104.8,104.9,116.0,112.3,-11.1,-7.5,0.238,1.67,17.2,0.0,0.143,0.066,10.3,0.667,0.667,0.273,0.276,101.8,103.37,86.14,82,0.129,4.0
2,734,734,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301170,2024-04-11T00:00:00,NOP @ SAC,W,39.99333333333333,11,18,0.611,9,12,0.75,0,0,0.0,1,3,4,7,0,2,0,0,0,1,31,-11,52.3,0,0,55.0,1,1,1,1,675,789,1970,5617,10,245,1673,13417,14233,13417,6495,9403,9569,1520,16035,1349,8529,1,1,11166,746,21910,998,2248,138,542,1,39:60,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,39.000000:60,120.9,120.0,134.5,137.8,-13.6,-17.8,0.25,0.0,28.0,0.029,0.088,0.058,0.0,0.861,0.861,0.194,0.201,101.08,100.22,83.51,85,0.164,4.0
3,975,975,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301157,2024-04-09T00:00:00,NOP @ POR,W,33.8,10,19,0.526,5,10,0.5,4,4,1.0,1,4,5,3,1,2,0,0,0,2,29,18,44.5,0,0,46.0,1,1,1,1,4773,1283,1555,8766,458,684,4049,2744,3806,1,6495,6490,7149,7003,8468,1349,8529,1,1,6969,1107,1570,2204,2248,138,1548,1,33:48,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,33.000000:48,131.3,130.9,105.7,104.4,25.6,26.5,0.15,3.0,12.0,0.029,0.125,0.076,4.0,0.658,0.698,0.282,0.283,95.86,96.57,80.47,68,0.174,4.0
4,1323,1323,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301138,2024-04-07T00:00:00,NOP @ PHX,W,41.553333333333335,12,22,0.545,7,12,0.583,0,0,0.0,0,4,4,5,3,0,0,1,2,1,31,19,40.3,0,0,47.0,1,1,1,1,337,497,691,8074,71,245,3661,13417,14233,13417,13449,6490,9569,3413,1850,12108,8529,17336,13042,11166,746,1366,3253,2248,138,1383,1,41:33,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,41.000000:33,122.7,123.5,102.6,103.6,20.1,19.9,0.192,1.67,16.7,0.0,0.093,0.05,10.0,0.705,0.705,0.26,0.267,97.86,97.03,80.86,85,0.135,4.0
5,1839,1839,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301123,2024-04-05T00:00:00,NOP vs. SAS,L,39.471666666666664,13,29,0.448,4,12,0.333,1,1,1.0,2,4,6,4,3,0,1,2,0,2,31,-6,44.2,0,0,47.0,1,13252,13252,13252,854,291,55,13454,1043,245,9124,10099,12641,1,3105,6490,5291,4938,1850,12108,2720,23757,1,6969,746,18385,2261,2248,138,1383,1,39:28,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,39.000000:28,102.1,98.8,108.7,107.3,-6.6,-8.5,0.211,1.33,11.1,0.053,0.105,0.079,8.3,0.517,0.526,0.344,0.358,98.04,100.33,83.6,83,0.127,15.0
6,2019,2019,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301109,2024-04-03T00:00:00,NOP vs. ORL,L,41.083333333333336,10,24,0.417,5,12,0.417,11,11,1.0,2,8,10,4,4,2,0,0,3,7,36,2,56.0,1,0,59.0,1,13252,13252,13252,409,1283,365,14849,458,245,7825,137,329,1,3105,1265,1501,4938,804,1349,8529,1,18879,505,284,10350,644,1,138,308,1,41:05,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,41.000000:05,116.7,118.3,111.3,114.5,5.4,3.8,0.182,1.0,10.8,0.059,0.205,0.137,10.8,0.521,0.624,0.375,0.37,98.4,96.39,80.32,82,0.181,18.0
7,2471,2471,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301092,2024-04-01T00:00:00,NOP vs. PHX,L,39.6,6,17,0.353,2,6,0.333,1,1,1.0,2,3,5,9,3,0,1,1,1,0,15,-3,34.5,0,0,33.0,1,13252,13252,13252,797,5451,2448,17514,4439,3921,9124,10099,12641,1,3105,9403,7149,667,1850,12108,2720,17336,6163,17532,6762,15642,5247,2248,138,5132,1,39:36,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,39.000000:36,114.9,117.7,121.0,121.5,-6.0,-3.8,0.29,3.0,31.0,0.045,0.073,0.059,10.3,0.412,0.43,0.22,0.222,97.14,95.76,79.8,79,0.076,19.0
8,2697,2697,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301074,2024-03-30T00:00:00,NOP vs. BOS,L,36.56666666666667,10,23,0.435,4,11,0.364,0,0,0.0,0,2,2,5,1,2,1,1,4,1,24,-6,41.9,0,0,41.0,1,13252,13252,13252,2547,1283,508,14078,1043,427,9044,13417,14233,13417,13449,13100,15973,3413,8468,1349,2720,17336,22902,11166,2264,18385,2807,2248,138,2508,1,36:34,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,36.000000:34,102.4,102.8,110.8,109.7,-8.4,-6.9,0.278,5.0,17.2,0.0,0.063,0.027,3.4,0.522,0.522,0.316,0.315,93.57,93.86,78.21,71,0.101,16.0
9,3023,3023,2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301061,2024-03-28T00:00:00,NOP vs. MIL,W,39.47833333333333,9,24,0.375,3,9,0.333,4,4,1.0,1,6,7,7,1,1,0,1,1,4,25,12,45.9,0,0,44.0,1,1,1,1,850,1924,365,16597,2226,1137,9124,2744,3806,1,6495,2880,3886,1520,8468,4430,8529,17336,6163,2625,1973,3565,1910,2248,138,1881,1,39:29,,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,39.000000:29,108.3,113.8,99.6,100.0,8.7,13.8,0.304,7.0,21.2,0.02,0.154,0.08,3.0,0.438,0.485,0.277,0.277,99.26,96.66,80.55,80,0.152,18.0
