,Unnamed: 0,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,NET_RANKING
176,176,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901220,2010-04-14T00:00:00,DAL vs. SAS,W,7.366666666666666,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,0,4,-1,6.7,0,0,6.0,1,1,1,1,22093,14486,17174,7793,8760,10375,8760,14198,15149,14198,13179,16252,18341,11470,16518,11450,7711,16130,1,18272,17107,12519,20038,2160,24,20041,,7:22,
521,521,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901212,2010-04-12T00:00:00,DAL @ LAC,W,18.05,5,8,0.625,0,1,0.0,1,1,1.0,1,5,6,5,0,2,0,1,1,2,11,19,31.7,0,0,26.0,1,1,1,1,16852,6421,10386,4276,8760,10375,8760,10901,13717,1,6857,4127,5297,2430,16518,1394,7711,16130,4189,8143,9169,982,5197,2160,24,6951,,18:03,
815,815,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901193,2010-04-10T00:00:00,DAL @ SAC,W,3.1166666666666667,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,1,5.0,0,0,6.0,1,1,1,1,23890,14486,18882,2803,4130,7517,2757,14198,15149,14198,13179,20807,21856,17056,16518,11450,7711,1,1,18272,16077,10394,21130,2160,24,20041,,3:07,
1371,1371,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901167,2010-04-07T00:00:00,DAL vs. MEM,W,3.4833333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,2,2,3.5,0,0,3.0,1,1,1,1,23724,17754,22073,1,8760,13979,8760,14198,15149,14198,13179,20807,21856,11470,16518,11450,7711,1,4189,18272,19633,9384,22057,2160,24,22081,,3:29,
1976,1976,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901137,2010-04-03T00:00:00,DAL vs. OKC,L,9.906666666666666,3,6,0.5,0,2,0.0,1,1,1.0,0,1,1,1,2,0,0,0,3,1,7,-6,7.7,0,0,9.0,1,12401,12401,12401,21113,11373,13669,7793,8760,7517,8760,10901,13717,1,13179,16252,18341,11470,4425,11450,7711,1,15686,12463,13603,17604,19430,2160,24,18040,,9:54,
2218,2218,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901120,2010-04-01T00:00:00,DAL vs. ORL,L,11.25,0,3,0.0,0,1,0.0,2,2,1.0,0,1,1,0,2,0,0,0,0,1,2,-3,1.2,0,0,3.0,1,12401,12401,12401,20545,21293,18882,21293,8760,10375,8760,6813,8466,1,13179,16252,18341,17056,4425,11450,7711,1,1,12463,19633,14639,23322,2160,24,22081,,11:15,
2349,2349,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901114,2010-03-31T00:00:00,DAL @ MEM,W,23.335,4,8,0.5,1,2,0.5,1,2,0.5,0,1,1,2,3,1,1,0,4,1,10,14,17.2,0,0,18.0,1,1,1,1,13333,8676,10386,7793,4130,7517,2757,10901,8466,10893,13179,16252,18341,7680,2009,4316,2706,1,20228,12463,10123,2165,13225,2160,24,11880,,23:20,
2653,2653,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901100,2010-03-29T00:00:00,DAL vs. DEN,W,14.933333333333334,2,7,0.286,1,4,0.25,0,0,0.0,0,0,0,1,0,3,0,0,2,1,5,-3,15.5,0,0,13.0,1,1,1,1,18753,14486,11956,18251,4130,3320,7313,14198,15149,14198,13179,20807,21856,11470,16518,438,7711,1,9903,12463,16077,14639,14329,2160,24,15255,,14:56,
2980,2980,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901086,2010-03-27T00:00:00,DAL @ GSW,W,29.866666666666667,15,22,0.682,9,11,0.818,1,1,1.0,0,8,8,3,1,0,3,0,2,1,40,21,62.1,0,0,66.0,1,1,1,1,8765,32,389,2793,2,35,1331,10901,13717,1,13179,1191,2972,5184,9126,11450,360,1,9903,12463,54,694,125,2160,24,24,,29:52,
3242,3242,2009-10,201958,Rodrigue Beaubois,Rodrigue,1610612742,DAL,Dallas Mavericks,20901070,2010-03-25T00:00:00,DAL @ POR,L,0.8016666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,12401,12401,12401,24596,21293,23599,21293,8760,13979,8760,14198,15149,14198,13179,20807,21856,17056,16518,11450,7711,1,1,18272,21997,11395,23832,2160,24,23890,,0:48,
